,cluster,size,high_cost%,low_cost%,TP,TN,FP,FN,FPR,specificity,sensitivity,precision,accuracy,balanced accuracy,f1,auc,seed_number
0,3,7978.0,0.25068939583855604,0.749310604161444,1378.0,5252.0,726.0,622.0,0.12144529943124793,0.8785547005687521,0.689,0.6549429657794676,0.8310353472048132,0.783777350284376,0.6715399610136451,0.8779061977249918,362
1,4,7978.0,0.25068939583855604,0.749310604161444,1365.0,5269.0,709.0,635.0,0.11860153897624626,0.8813984610237537,0.6825,0.6581485053037609,0.8315367259964903,0.7819492305118769,0.6701030927835051,0.8782613332218133,362
2,5,7978.0,0.25068939583855604,0.749310604161444,1404.0,5185.0,793.0,596.0,0.13265306122448983,0.8673469387755102,0.702,0.6390532544378699,0.8258962145901229,0.7846734693877551,0.6690493209435311,0.8793893024422884,362
3,6,7978.0,0.25068939583855604,0.749310604161444,1443.0,5133.0,845.0,557.0,0.14135162261625966,0.8586483773837403,0.7215,0.6306818181818182,0.8242667335171723,0.7900741886918702,0.6730410447761195,0.8790430327868852,362
4,7,7978.0,0.25068939583855604,0.749310604161444,1383.0,5217.0,761.0,617.0,0.1273001003680161,0.8726998996319839,0.6915,0.6450559701492538,0.8272750062672349,0.782099949815992,0.6674710424710425,0.8793834476413517,362
5,8,7978.0,0.25068939583855604,0.749310604161444,1435.0,5144.0,834.0,565.0,0.13951154232184682,0.8604884576781532,0.7175,0.6324371970030851,0.82464276761093,0.7889942288390766,0.6722885921761537,0.8800827617932419,362
6,9,7978.0,0.25068939583855604,0.749310604161444,1388.0,5233.0,745.0,612.0,0.12462361993977922,0.8753763800602208,0.694,0.6507266760431317,0.8299072449235397,0.7846881900301104,0.6716670699249939,0.8788174556707928,362
7,3,7978.0,0.25068939583855604,0.749310604161444,1341.0,5326.0,652.0,659.0,0.1090665774506524,0.8909334225493476,0.6705,0.6728549924736578,0.8356731010278265,0.7807167112746738,0.6716754320060105,0.8782972147875544,3038
8,4,7978.0,0.25068939583855604,0.749310604161444,1330.0,5323.0,655.0,670.0,0.10956841753094682,0.8904315824690532,0.665,0.6700251889168766,0.8339182752569566,0.7777157912345266,0.6675031367628607,0.8763945717631315,3038
9,5,7978.0,0.25068939583855604,0.749310604161444,1390.0,5261.0,717.0,610.0,0.11993977919036469,0.8800602208096353,0.695,0.6597057427622212,0.8336675858611181,0.7875301104048176,0.6768931093255418,0.8801297674807628,3038
10,6,7978.0,0.25068939583855604,0.749310604161444,1347.0,5319.0,659.0,653.0,0.11023753763800603,0.889762462361994,0.6735,0.6714855433698903,0.8355477563299073,0.781631231180997,0.6724912631053419,0.8783564319170292,3038
11,7,7978.0,0.25068939583855604,0.749310604161444,1443.0,5108.0,870.0,557.0,0.14553362328537978,0.8544663767146202,0.7215,0.6238651102464332,0.8211331160691903,0.7879831883573101,0.6691398098771157,0.8786194797591168,3038
12,8,7978.0,0.25068939583855604,0.749310604161444,1328.0,5317.0,661.0,672.0,0.11057209769153564,0.8894279023084644,0.664,0.6676721970839617,0.8329155176736024,0.7767139511542323,0.6658310353472048,0.8783370274339244,3038
13,9,7978.0,0.25068939583855604,0.749310604161444,1402.0,5194.0,784.0,598.0,0.1311475409836066,0.8688524590163934,0.701,0.6413540713632205,0.8267736274755578,0.7849262295081967,0.6698518872431917,0.8767471980595518,3038
14,3,7978.0,0.25068939583855604,0.749310604161444,1342.0,5320.0,658.0,658.0,0.11007025761124123,0.8899297423887588,0.671,0.671,0.8350463775382301,0.7804648711943794,0.671,0.8783332636333222,9765
15,4,7978.0,0.25068939583855604,0.749310604161444,1346.0,5321.0,657.0,654.0,0.10990297758447642,0.8900970224155236,0.673,0.671992011982027,0.8356731010278265,0.7815485112077618,0.672495628278791,0.8766877300100367,9765
16,5,7978.0,0.25068939583855604,0.749310604161444,1428.0,5150.0,828.0,572.0,0.138507862161258,0.861492137838742,0.714,0.6329787234042553,0.8245174229130108,0.7877460689193709,0.6710526315789475,0.8791780277684844,9765
17,6,7978.0,0.25068939583855604,0.749310604161444,1371.0,5240.0,738.0,629.0,0.12345265975242559,0.8765473402475744,0.6855,0.6500711237553343,0.8286537979443469,0.7810236701237872,0.6673156485762959,0.8781334476413517,9765
18,7,7978.0,0.25068939583855604,0.749310604161444,1402.0,5186.0,792.0,598.0,0.13248578119772503,0.867514218802275,0.701,0.6390154968094804,0.8257708698922036,0.7842571094011375,0.6685741535526943,0.8811263382402141,9765
19,8,7978.0,0.25068939583855604,0.749310604161444,1396.0,5171.0,807.0,604.0,0.1349949815991971,0.8650050184008029,0.698,0.6336813436223332,0.8231386312358987,0.7815025092004014,0.6642874137520818,0.8760859401137503,9765
20,9,7978.0,0.25068939583855604,0.749310604161444,1361.0,5258.0,720.0,639.0,0.1204416192706591,0.8795583807293409,0.6805,0.6540124939932724,0.8296565555277011,0.7800291903646704,0.666993383974516,0.8756735948477752,9765
21,3,7978.0,0.25068939583855604,0.749310604161444,1344.0,5323.0,655.0,656.0,0.10956841753094682,0.8904315824690532,0.672,0.6723361680840421,0.8356731010278265,0.7812157912345266,0.6721680420105027,0.878297800267648,48921
22,4,7978.0,0.25068939583855604,0.749310604161444,1337.0,5332.0,646.0,663.0,0.10806289729006358,0.8919371027099364,0.6685,0.6742309631870903,0.835923790423665,0.7802185513549682,0.6713532513181019,0.8798961609233859,48921
23,5,7978.0,0.25068939583855604,0.749310604161444,1344.0,5319.0,659.0,656.0,0.11023753763800603,0.889762462361994,0.672,0.670993509735397,0.8351717222361494,0.780881231180997,0.6714963777167126,0.8807042070926732,48921
24,6,7978.0,0.25068939583855604,0.749310604161444,1344.0,5313.0,665.0,656.0,0.11124121779859486,0.8887587822014051,0.672,0.6689895470383276,0.8344196540486337,0.7803793911007026,0.670491394362684,0.8784541234526597,48921
25,7,7978.0,0.25068939583855604,0.749310604161444,1386.0,5214.0,764.0,614.0,0.1278019404483105,0.8721980595516895,0.693,0.6446511627906977,0.8272750062672349,0.7825990297758447,0.6679518072289157,0.878421587487454,48921
26,8,7978.0,0.25068939583855604,0.749310604161444,1330.0,5316.0,662.0,670.0,0.11073937771830045,0.8892606222816996,0.665,0.6676706827309237,0.8330408623715216,0.7771303111408498,0.6663326653306614,0.8776711692873871,48921
27,9,7978.0,0.25068939583855604,0.749310604161444,1296.0,5383.0,595.0,704.0,0.09953161592505855,0.9004683840749415,0.648,0.6853516657852988,0.8371772374028579,0.7742341920374707,0.6661526599845798,0.8784540398126464,48921
28,3,7978.0,0.25068939583855604,0.749310604161444,1378.0,5254.0,724.0,622.0,0.12111073937771832,0.8788892606222817,0.689,0.6555661274976213,0.8312860366006518,0.7839446303111408,0.6718673817649926,0.8778709016393442,55375
29,4,7978.0,0.25068939583855604,0.749310604161444,1328.0,5311.0,667.0,672.0,0.11157577785212447,0.8884242221478755,0.664,0.6656641604010025,0.8321634494860868,0.7762121110739377,0.6648310387984981,0.8752933673469387,55375
30,5,7978.0,0.25068939583855604,0.749310604161444,1399.0,5187.0,791.0,601.0,0.13231850117096022,0.8676814988290398,0.6995,0.6388127853881278,0.825520180496365,0.7835907494145199,0.6677804295942721,0.8770074021411844,55375
31,6,7978.0,0.25068939583855604,0.749310604161444,1352.0,5300.0,678.0,648.0,0.11341585814653732,0.8865841418534627,0.676,0.6660098522167488,0.8337929305590374,0.7812920709267314,0.670967741935484,0.8800053111408498,55375
32,7,7978.0,0.25068939583855604,0.749310604161444,1390.0,5244.0,734.0,610.0,0.12278353964536637,0.8772164603546336,0.695,0.6544256120527306,0.8315367259964903,0.7861082301773168,0.6741028128031037,0.8801940030110404,55375
33,8,7978.0,0.25068939583855604,0.749310604161444,1378.0,5244.0,734.0,622.0,0.12278353964536637,0.8772164603546336,0.689,0.6524621212121212,0.830032589621459,0.7831082301773168,0.6702334630350194,0.8799426647708263,55375
34,9,7978.0,0.25068939583855604,0.749310604161444,1394.0,5242.0,736.0,606.0,0.12311809969889598,0.876881900301104,0.697,0.6544600938967137,0.8317874153923289,0.786940950150552,0.6750605326876513,0.8794938524590163,55375
