,cluster,size,high_cost%,low_cost%,TP,TN,FP,FN,FPR,specificity,sensitivity,precision,accuracy,balanced accuracy,f1,auc,seed_number
0,2,7978.0,0.25068939583855604,0.749310604161444,1435.0,5118.0,860.0,565.0,0.14386082301773173,0.8561391769822683,0.7175,0.6252723311546841,0.8213838054650289,0.7868195884911342,0.6682188591385332,0.8740162261625962,3034
1,3,7978.0,0.25068939583855604,0.749310604161444,1442.0,5121.0,857.0,558.0,0.14335898293743732,0.8566410170625627,0.721,0.6272292301000435,0.8226372524442216,0.7888205085312814,0.6708536869039312,0.8756246236199399,3034
2,4,7978.0,0.25068939583855604,0.749310604161444,1406.0,5204.0,774.0,594.0,0.12947474071595855,0.8705252592840415,0.703,0.6449541284403669,0.8285284532464277,0.7867626296420207,0.6727272727272726,0.8738512462361995,3034
3,5,7978.0,0.25068939583855604,0.749310604161444,1394.0,5195.0,783.0,606.0,0.1309802609568418,0.8690197390431582,0.697,0.6403307303628847,0.8258962145901229,0.783009869521579,0.6674646875748145,0.8732708681833389,3034
4,6,7978.0,0.25068939583855604,0.749310604161444,1387.0,5200.0,778.0,613.0,0.13014386082301777,0.8698561391769822,0.6935,0.6406466512702078,0.8256455251942842,0.7816780695884911,0.6660264105642256,0.8729828956172633,3034
5,7,7978.0,0.25068939583855604,0.749310604161444,1386.0,5225.0,753.0,614.0,0.12596186015389765,0.8740381398461023,0.693,0.6479663394109397,0.8286537979443469,0.7835190699230512,0.6697269871949746,0.8737815741050519,3034
6,8,7978.0,0.25068939583855604,0.749310604161444,1401.0,5177.0,801.0,599.0,0.13399130143860827,0.8660086985613917,0.7005,0.6362397820163488,0.8245174229130108,0.7832543492806958,0.6668253212755831,0.8726213198394112,3034
7,9,7978.0,0.25068939583855604,0.749310604161444,1446.0,5115.0,863.0,554.0,0.14436266309802614,0.8556373369019739,0.723,0.6262451277609354,0.8223865630483831,0.789318668450987,0.6711533998607566,0.8744509033121446,3034
8,10,7978.0,0.25068939583855604,0.749310604161444,1399.0,5214.0,764.0,601.0,0.1278019404483105,0.8721980595516895,0.6995,0.646786870087841,0.8289044873401855,0.7858490297758447,0.6721114580831131,0.8741479173636667,3034
9,2,7978.0,0.25068939583855604,0.749310604161444,1388.0,5220.0,758.0,612.0,0.12679826028772168,0.8732017397122783,0.694,0.646784715750233,0.8282777638505892,0.7836008698561392,0.6695610226724553,0.8727494563399131,94469
