,cluster,size,high_cost%,low_cost%,TP,TN,FP,FN,FPR,specificity,sensitivity,precision,accuracy,balanced accuracy,f1,auc,seed_number
0,2,18709.0,0.25255224758137795,0.747447752418622,3226.0,10733.0,3251.0,1499.0,0.23247997711670476,0.7675200228832952,0.6827513227513228,0.49807009417940407,0.7461114971404137,0.7251356728173091,0.5759685770398144,0.817901350598719,28191
1,3,18709.0,0.25255224758137795,0.747447752418622,2936.0,11579.0,2405.0,1789.0,0.1719822654462243,0.8280177345537757,0.6213756613756614,0.5497097921737503,0.7758298145277673,0.7246966979647185,0.5833498907212399,0.822776158391147,28191
2,4,18709.0,0.25255224758137795,0.747447752418622,2432.0,12555.0,1429.0,2293.0,0.10218821510297482,0.8978117848970252,0.5147089947089947,0.6298886298886299,0.801058314180341,0.70626038980301,0.5665036105287677,0.8185121771820857,28191
3,5,18709.0,0.25255224758137795,0.747447752418622,2765.0,11921.0,2063.0,1960.0,0.14752574370709381,0.8524742562929062,0.5851851851851851,0.5727009113504556,0.7849698006307125,0.7188297207390457,0.5788757458390035,0.8213877084014385,28191
4,6,18709.0,0.25255224758137795,0.747447752418622,3010.0,11249.0,2735.0,1715.0,0.1955806636155606,0.8044193363844394,0.6370370370370371,0.5239338555265448,0.7621465604789139,0.7207281867107382,0.5749761222540591,0.8189994006756021,28191
5,7,18709.0,0.25255224758137795,0.747447752418622,2870.0,11631.0,2353.0,1855.0,0.1682637299771167,0.8317362700228833,0.6074074074074074,0.5494926287574191,0.7750815115719707,0.7195718387151453,0.5770004020908726,0.8207613235988521,28191
6,8,18709.0,0.25255224758137795,0.747447752418622,3000.0,11400.0,2584.0,1725.0,0.18478260869565222,0.8152173913043478,0.6349206349206349,0.5372492836676218,0.7696830402480089,0.7250690131124913,0.5820157144242895,0.8212178241497463,28191
7,9,18709.0,0.25255224758137795,0.747447752418622,2841.0,11697.0,2287.0,1884.0,0.16354405034324948,0.8364559496567505,0.6012698412698413,0.5540171606864275,0.7770591693837191,0.7188628954632958,0.5766771541662438,0.8206427905512573,28191
8,2,18709.0,0.25255224758137795,0.747447752418622,3248.0,10702.0,3282.0,1477.0,0.2346967963386728,0.7653032036613272,0.6874074074074074,0.4973966309341501,0.7456304452402587,0.7263553055343672,0.577165704131497,0.8184885371641665,28191
9,3,18709.0,0.25255224758137795,0.747447752418622,2925.0,11575.0,2409.0,1800.0,0.17226830663615555,0.8277316933638444,0.6190476190476191,0.5483689538807649,0.7750280613608423,0.7233896562057318,0.5815687444079928,0.8218015146562058,37264
10,4,18709.0,0.25255224758137795,0.747447752418622,2943.0,11512.0,2472.0,1782.0,0.17677345537757438,0.8232265446224256,0.6228571428571429,0.5434903047091413,0.7726228018600674,0.7230418437397843,0.5804733727810651,0.8208665685954015,37264
11,5,18709.0,0.25255224758137795,0.747447752418622,3036.0,11159.0,2825.0,1689.0,0.20201659038901598,0.797983409610984,0.6425396825396825,0.5180003412386964,0.7587257469667005,0.7202615460753332,0.5735877574154544,0.817724292615597,37264
12,6,18709.0,0.25255224758137795,0.747447752418622,2777.0,11922.0,2062.0,1948.0,0.14745423340961095,0.852545766590389,0.5877248677248678,0.5738789005992974,0.7856646533753808,0.7201353171576284,0.5807193642827269,0.8214570696063831,37264
13,7,18709.0,0.25255224758137795,0.747447752418622,2865.0,11748.0,2236.0,1860.0,0.15989702517162474,0.8401029748283753,0.6063492063492063,0.5616545775338169,0.7810679352183442,0.7232260905887908,0.583146753511093,0.8225046916808931,37264
14,8,18709.0,0.25255224758137795,0.747447752418622,2582.0,12287.0,1697.0,2143.0,0.12135297482837526,0.8786470251716247,0.5464550264550264,0.6034120121523721,0.7947511892671976,0.7125510258133256,0.5735228787205686,0.8199701548557384,37264
15,9,18709.0,0.25255224758137795,0.747447752418622,3161.0,11014.0,2970.0,1564.0,0.21238558352402748,0.7876144164759725,0.668994708994709,0.5155765780459958,0.7576567427441339,0.7283045627353408,0.5823507737656596,0.8230843110190935,37264
16,2,18709.0,0.25255224758137795,0.747447752418622,3238.0,10720.0,3264.0,1487.0,0.23340961098398172,0.7665903890160183,0.6852910052910053,0.4980006151953245,0.7460580469292853,0.7259406971535118,0.5768237285116238,0.8181114168270919,37264
17,3,18709.0,0.25255224758137795,0.747447752418622,3229.0,10709.0,3275.0,1496.0,0.23419622425629294,0.7658037757437071,0.6833862433862434,0.4964637146371464,0.7449890427067187,0.7245950095649752,0.5751179980407872,0.8171851049725762,37264
18,4,18709.0,0.25255224758137795,0.747447752418622,3052.0,11121.0,2863.0,1673.0,0.20473398169336388,0.7952660183066361,0.6459259259259259,0.5159763313609468,0.7575498423218772,0.720595972116281,0.5736842105263158,0.8179297125664402,43644
19,5,18709.0,0.25255224758137795,0.747447752418622,2765.0,11896.0,2088.0,1960.0,0.14931350114416475,0.8506864988558352,0.5851851851851851,0.5697506696888522,0.7836335453525042,0.7179358420205102,0.5773647943203174,0.8213976366035862,43644
20,6,18709.0,0.25255224758137795,0.747447752418622,2865.0,11704.0,2280.0,1860.0,0.1630434782608695,0.8369565217391305,0.6063492063492063,0.5568513119533528,0.7787161259286974,0.7216528640441684,0.5805471124620061,0.823029206470282,43644
21,7,18709.0,0.25255224758137795,0.747447752418622,2779.0,11827.0,2157.0,1946.0,0.15424771167048057,0.8457522883295194,0.5881481481481482,0.5630064829821718,0.7806937837404457,0.7169502182388339,0.5753027636890592,0.8200853885922537,43644
22,8,18709.0,0.25255224758137795,0.747447752418622,3015.0,11329.0,2655.0,1710.0,0.18985983981693366,0.8101401601830663,0.638095238095238,0.5317460317460317,0.7666898284248223,0.7241176991391522,0.5800865800865801,0.8220895838630393,43644
23,9,18709.0,0.25255224758137795,0.747447752418622,3016.0,11429.0,2555.0,1709.0,0.18270881006864992,0.8172911899313501,0.6383068783068783,0.5413749775623766,0.772088299748784,0.7277990341191142,0.5858585858585857,0.8229531709709055,43644
24,2,18709.0,0.25255224758137795,0.747447752418622,3248.0,10700.0,3284.0,1477.0,0.23483981693363842,0.7651601830663616,0.6874074074074074,0.4972443355786895,0.745523544818002,0.7262837952368845,0.5770631607000088,0.818460659498989,43644
25,3,18709.0,0.25255224758137795,0.747447752418622,3049.0,11141.0,2843.0,1676.0,0.20330377574370706,0.7966962242562929,0.6452910052910052,0.5174813306177868,0.7584584959110588,0.7209936147736491,0.5743618724686823,0.818603044446866,43644
26,4,18709.0,0.25255224758137795,0.747447752418622,3044.0,11115.0,2869.0,1681.0,0.20516304347826086,0.7948369565217391,0.6442328042328043,0.5147979029257568,0.7568015393660805,0.7195348803772716,0.5722880240646738,0.8181922953519063,43644
27,5,18709.0,0.25255224758137795,0.747447752418622,3068.0,11095.0,2889.0,1657.0,0.20659324942791757,0.7934067505720824,0.6493121693121693,0.5150243411112976,0.7570153402105938,0.7213594599421258,0.5744242651188916,0.8196809051614543,24537
