,cluster,size,high_cost%,low_cost%,TP,TN,FP,FN,FPR,specificity,sensitivity,precision,accuracy,balanced accuracy,f1,auc,seed_number
0,2,18709.0,0.25255224758137795,0.747447752418622,3195.0,10732.0,3252.0,1530.0,0.23255148741418763,0.7674485125858124,0.6761904761904762,0.4955793392275477,0.744401090384307,0.7218194943881443,0.5719656283566058,0.8122455822527331,2721
1,3,18709.0,0.25255224758137795,0.747447752418622,3300.0,10498.0,3486.0,1425.0,0.24928489702517165,0.7507151029748284,0.6984126984126984,0.48629531388152075,0.737506013148752,0.7245639006937634,0.5733646077664842,0.8129826074848958,2721
2,4,18709.0,0.25255224758137795,0.747447752418622,3215.0,10702.0,3282.0,1510.0,0.2346967963386728,0.7653032036613272,0.6804232804232804,0.4948437740495613,0.7438665882730237,0.7228632420423038,0.5729816432008555,0.8132851452302252,2721
3,5,18709.0,0.25255224758137795,0.747447752418622,3196.0,10667.0,3317.0,1529.0,0.23719965675057209,0.7628003432494279,0.6764021164021164,0.49071088592046674,0.7409802768720937,0.7196012298257721,0.5687844812244172,0.8101620748731733,2721
4,6,18709.0,0.25255224758137795,0.747447752418622,3225.0,10714.0,3270.0,1500.0,0.2338386727688787,0.7661613272311213,0.6825396825396826,0.49653579676674364,0.7450424929178471,0.724350504885402,0.5748663101604278,0.8124081262939961,2721
5,7,18709.0,0.25255224758137795,0.747447752418622,3191.0,10712.0,3272.0,1534.0,0.23398169336384445,0.7660183066361556,0.6753439153439154,0.4937335602661303,0.743118285317227,0.7206811109900355,0.5704326063639614,0.8093619313985446,2721
6,8,18709.0,0.25255224758137795,0.747447752418622,3203.0,10722.0,3262.0,1522.0,0.23326659038901598,0.766733409610984,0.6778835978835979,0.4954369682907966,0.7442941899620503,0.7223085037472909,0.5724754244861483,0.8123487689634715,2721
7,9,18709.0,0.25255224758137795,0.747447752418622,3220.0,10613.0,3371.0,1505.0,0.24106121281464532,0.7589387871853547,0.6814814814814815,0.4885449855864057,0.7393767705382436,0.7202101343334181,0.5691056910569106,0.8086321253011756,2721
8,10,18709.0,0.25255224758137795,0.747447752418622,3238.0,10673.0,3311.0,1487.0,0.2367705949656751,0.7632294050343249,0.6852910052910053,0.4944266300198504,0.7435458870062537,0.7242602051626651,0.5744190172077347,0.8111510736382017,2721
9,2,18709.0,0.25255224758137795,0.747447752418622,3202.0,10709.0,3275.0,1523.0,0.23419622425629294,0.7658037757437071,0.6776719576719576,0.49436467500385983,0.7435458870062537,0.7217378667078324,0.5716836279235852,0.8118463126415072,21274
10,3,18709.0,0.25255224758137795,0.747447752418622,3192.0,10748.0,3236.0,1533.0,0.2314073226544623,0.7685926773455377,0.6755555555555556,0.49657747355320475,0.7450959431289753,0.7220741164505466,0.5724020442930153,0.8120632196433112,21274
11,4,18709.0,0.25255224758137795,0.747447752418622,3199.0,10676.0,3308.0,1526.0,0.2365560640732265,0.7634439359267735,0.677037037037037,0.491624404487475,0.7416216794056336,0.7202404864819052,0.5696225071225071,0.8037653993074474,21274
12,5,18709.0,0.25255224758137795,0.747447752418622,3322.0,10454.0,3530.0,1403.0,0.25243135011441653,0.7475686498855835,0.7030687830687831,0.4848219497956801,0.7363301085039285,0.7253187164771833,0.5738965189600068,0.8116597426537359,21274
13,6,18709.0,0.25255224758137795,0.747447752418622,3218.0,10621.0,3363.0,1507.0,0.2404891304347826,0.7595108695652174,0.681058201058201,0.48898343716760373,0.7396974718050137,0.7202845353117092,0.5692552626923758,0.8086110051699296,21274
