,cluster,size,high_cost%,low_cost%,TP,TN,FP,FN,FPR,specificity,sensitivity,precision,accuracy,balanced accuracy,f1,auc,seed_number
0,3,20136.0,0.25039729837107666,0.7496027016289233,3558.0,12111.0,2983.0,1484.0,0.19762819663442432,0.8023718033655757,0.7056723522411741,0.5439535239260052,0.7781585220500596,0.7540220778033748,0.6143486143486143,0.8414762398397518,73491
1,4,20136.0,0.25039729837107666,0.7496027016289233,3348.0,12651.0,2443.0,1694.0,0.16185239167881282,0.8381476083211872,0.664022213407378,0.5781384907615265,0.7945470798569726,0.7510849108642825,0.6181113265023539,0.8449955973374732,73491
2,5,20136.0,0.25039729837107666,0.7496027016289233,3406.0,12536.0,2558.0,1636.0,0.16947131310454489,0.8305286868954551,0.6755255850852836,0.5710932260228034,0.7917163289630512,0.7530271359903693,0.6189351262947482,0.8454205161603443,73491
3,6,20136.0,0.25039729837107666,0.7496027016289233,3435.0,12629.0,2465.0,1607.0,0.16330992447330062,0.8366900755266994,0.6812772709242364,0.5822033898305085,0.7977751291219706,0.7589836732254679,0.6278559678303783,0.8492959524254904,73491
4,7,20136.0,0.25039729837107666,0.7496027016289233,3435.0,12554.0,2540.0,1607.0,0.1682787862726911,0.8317212137273089,0.6812772709242364,0.5748953974895398,0.7940504568931267,0.7564992423257726,0.6235817373150586,0.8455814145147896,73491
5,8,20136.0,0.25039729837107666,0.7496027016289233,3605.0,12258.0,2836.0,1437.0,0.18788922750761894,0.8121107724923811,0.7149940499801666,0.5596956994255551,0.7877930075486691,0.7635524112362738,0.627884699120439,0.8481283914469193,73491
6,9,20136.0,0.25039729837107666,0.7496027016289233,3449.0,12538.0,2556.0,1593.0,0.16933881012322782,0.8306611898767722,0.6840539468464895,0.5743547044129892,0.7939511323003575,0.7573575683616308,0.6244229202498417,0.84702241728642,73491
7,3,20136.0,0.25039729837107666,0.7496027016289233,3520.0,12170.0,2924.0,1522.0,0.19371935868557044,0.8062806413144296,0.6981356604522015,0.5462445685909373,0.7792014302741359,0.7522081508833156,0.6129200766150097,0.8407897182942468,73491
8,4,20136.0,0.25039729837107666,0.7496027016289233,3438.0,12407.0,2687.0,1604.0,0.1780177553994965,0.8219822446005035,0.6818722729075763,0.5613061224489796,0.7868990862137465,0.75192725875404,0.6157428136473538,0.8445586817651036,66949
9,5,20136.0,0.25039729837107666,0.7496027016289233,3418.0,12498.0,2596.0,1624.0,0.1719888697495694,0.8280111302504306,0.6779055930186434,0.5683405387429331,0.790425109257052,0.752958361634537,0.6183068017366136,0.8458266580335623,66949
