,cluster,size,high_cost%,low_cost%,TP,TN,FP,FN,FPR,specificity,sensitivity,precision,accuracy,balanced accuracy,f1,auc,seed_number
0,2,20136.0,0.25039729837107666,0.7496027016289233,3767.0,10917.0,4177.0,1275.0,0.27673247648072086,0.7232675235192791,0.7471241570805236,0.47419436052366565,0.7292411601112435,0.7351958402999014,0.5801632527337133,0.8181898854971361,19977
1,3,20136.0,0.25039729837107666,0.7496027016289233,3626.0,11236.0,3858.0,1416.0,0.2555982509606466,0.7444017490393534,0.7191590638635462,0.48450026723677175,0.7380810488676997,0.7317804064514498,0.578955771994252,0.8196513405585739,19977
2,4,20136.0,0.25039729837107666,0.7496027016289233,3639.0,11269.0,3825.0,1403.0,0.25341195176891484,0.7465880482310852,0.7217374057913526,0.487540192926045,0.7403655145013905,0.7341627270112189,0.5819606588837357,0.8194488214987218,19977
3,5,20136.0,0.25039729837107666,0.7496027016289233,3768.0,10882.0,4212.0,1274.0,0.27905127865376966,0.7209487213462303,0.7473224910749703,0.47218045112781953,0.7275526420341677,0.7341356062106004,0.5787129473199202,0.8194393016246673,19977
4,6,20136.0,0.25039729837107666,0.7496027016289233,3644.0,11282.0,3812.0,1398.0,0.25255068239035383,0.7474493176096462,0.7227290757635859,0.48873390557939916,0.741259435836313,0.735089196686616,0.5831333013282125,0.8209350190347551,19977
5,7,20136.0,0.25039729837107666,0.7496027016289233,3598.0,11336.0,3758.0,1444.0,0.2489731018947926,0.7510268981052074,0.7136057120190401,0.4891245241979337,0.7416567342073898,0.7323163050621238,0.5804161961606711,0.8198205564841394,19977
6,8,20136.0,0.25039729837107666,0.7496027016289233,3632.0,11277.0,3817.0,1410.0,0.2528819398436465,0.7471180601563535,0.7203490678302261,0.48758222580212107,0.7404151767977751,0.7337335639932898,0.5815387078696661,0.8189632750721422,19977
7,9,20136.0,0.25039729837107666,0.7496027016289233,3628.0,11256.0,3838.0,1414.0,0.25427322114747586,0.7457267788525241,0.7195557318524395,0.48593624430752747,0.7391736193881605,0.7326412553524818,0.580108730412536,0.8196770882372619,19977
8,10,20136.0,0.25039729837107666,0.7496027016289233,3663.0,11192.0,3902.0,1379.0,0.2585133165496224,0.7414866834503776,0.7264974216580722,0.48420356906807666,0.7377334127930075,0.733992052554225,0.5811057349091775,0.8188316918854197,19977
9,2,20136.0,0.25039729837107666,0.7496027016289233,3802.0,10869.0,4225.0,1240.0,0.2799125480323307,0.7200874519676693,0.7540658468861563,0.47365142643577923,0.728595550258244,0.7370766494269128,0.5818348764251282,0.81909809724983,79466
10,3,20136.0,0.25039729837107666,0.7496027016289233,3753.0,10945.0,4149.0,1289.0,0.27487743474228166,0.7251225652577183,0.7443474811582705,0.47494305239179957,0.7299364322606278,0.7347350232079944,0.5798825710754018,0.8193329865094515,79466
11,4,20136.0,0.25039729837107666,0.7496027016289233,3653.0,11220.0,3874.0,1389.0,0.2566582748111833,0.7433417251888167,0.7245140817136058,0.4853195164075993,0.73862733412793,0.7339279034512112,0.5812713819715172,0.8182536338325048,79466
12,5,20136.0,0.25039729837107666,0.7496027016289233,3579.0,11371.0,3723.0,1463.0,0.24665429972174369,0.7533457002782563,0.7098373661245537,0.49013968775677896,0.7424513309495431,0.731591533201405,0.5798768632534025,0.8201070527904807,79466
13,6,20136.0,0.25039729837107666,0.7496027016289233,3789.0,10840.0,4254.0,1253.0,0.2818338412614284,0.7181661587385716,0.7514875049583498,0.4710928757926147,0.7265097338100914,0.7348268318484608,0.5791364157432174,0.8189955795722976,79466
14,7,20136.0,0.25039729837107666,0.7496027016289233,3083.0,12557.0,2537.0,1959.0,0.1680800318007155,0.8319199681992845,0.6114637048790162,0.548576512455516,0.7767183154549067,0.7216918365391504,0.5783155130369537,0.8189349651085118,79466
15,8,20136.0,0.25039729837107666,0.7496027016289233,3617.0,11310.0,3784.0,1425.0,0.25069564065191463,0.7493043593480854,0.7173740579135264,0.48871774084583164,0.7413090981326976,0.7333392086308059,0.5813710519971068,0.8199127921720959,79466
16,9,20136.0,0.25039729837107666,0.7496027016289233,3775.0,10936.0,4158.0,1267.0,0.27547369815820855,0.7245263018417915,0.7487108290360968,0.47586033026597757,0.7305820421136273,0.7366185654389441,0.581888246628131,0.8196727389228217,79466
17,10,20136.0,0.25039729837107666,0.7496027016289233,3637.0,11250.0,3844.0,1405.0,0.25467073009142704,0.745329269908573,0.7213407378024593,0.4861649512097313,0.7393226062773143,0.7333350038555162,0.5808512337299369,0.818522476652591,79466
18,2,20136.0,0.25039729837107666,0.7496027016289233,3769.0,10919.0,4175.0,1273.0,0.2765999734994037,0.7234000265005963,0.7475208250694169,0.47444612286002014,0.7294398092967819,0.7354604257850066,0.5804712767595872,0.8183842709447873,61832
19,3,20136.0,0.25039729837107666,0.7496027016289233,3774.0,10932.0,4162.0,1268.0,0.27573870412084267,0.7242612958791573,0.7485124950416502,0.47555443548387094,0.7303337306317044,0.7363868954604038,0.5815996301433194,0.8202793894477064,61832
20,4,20136.0,0.25039729837107666,0.7496027016289233,3633.0,11299.0,3795.0,1409.0,0.2514244070491586,0.7485755929508414,0.7205474018246727,0.48909531502423265,0.7415574096146206,0.734561497387757,0.5826784282277466,0.8207215018595356,61832
21,5,20136.0,0.25039729837107666,0.7496027016289233,3523.0,11540.0,3554.0,1519.0,0.2354577978004505,0.7645422021995495,0.6987306624355415,0.49780980641514766,0.7480631704410012,0.7316364323175455,0.5814011057017906,0.8197836464410493,61832
22,6,20136.0,0.25039729837107666,0.7496027016289233,3531.0,11503.0,3591.0,1511.0,0.2379091029548165,0.7620908970451835,0.7003173343911147,0.495787700084246,0.7466229638458483,0.731204115718149,0.5805656034199277,0.8202534249602924,61832
23,7,20136.0,0.25039729837107666,0.7496027016289233,3528.0,11529.0,3565.0,1514.0,0.23618656419769446,0.7638134358023055,0.6997223324077747,0.4973917947271958,0.7477651966626937,0.7317678841050401,0.5814585908529049,0.8187287011706673,61832
24,8,20136.0,0.25039729837107666,0.7496027016289233,3638.0,11253.0,3841.0,1404.0,0.25447197561945145,0.7455280243805485,0.721539071796906,0.4864286669340821,0.7395212554628526,0.7335335480887273,0.5811037457072119,0.8187134063005509,61832
25,9,20136.0,0.25039729837107666,0.7496027016289233,3655.0,11236.0,3858.0,1387.0,0.2555982509606466,0.7444017490393534,0.724910749702499,0.4864900838546519,0.7395212554628526,0.7346562493709262,0.5822381521306252,0.8193192158703777,61832
26,10,20136.0,0.25039729837107666,0.7496027016289233,3659.0,11198.0,3896.0,1383.0,0.2581158076056711,0.7418841923943289,0.7257040856802855,0.4843150231634679,0.7378327373857767,0.7337941390373073,0.5809319679288719,0.8190825198713738,61832
27,2,20136.0,0.25039729837107666,0.7496027016289233,3847.0,10764.0,4330.0,1195.0,0.28686895455147743,0.7131310454485226,0.7629908766362554,0.47046594105417633,0.7256158124751688,0.7380609610423889,0.5820410015886225,0.8187305210499722,48471
28,3,20136.0,0.25039729837107666,0.7496027016289233,3649.0,11242.0,3852.0,1393.0,0.2552007420166954,0.7447992579833046,0.7237207457358191,0.4864684708705506,0.7395212554628526,0.7342600018595619,0.5818384756437854,0.8203653639624584,48471
29,4,20136.0,0.25039729837107666,0.7496027016289233,3643.0,11231.0,3863.0,1399.0,0.25592950841393936,0.7440704915860606,0.7225307417691392,0.4853450572875033,0.7386769964243146,0.7333006166775999,0.5806503028371055,0.8193591349557845,48471
30,5,20136.0,0.25039729837107666,0.7496027016289233,3525.0,11530.0,3564.0,1517.0,0.23612031270703593,0.7638796872929641,0.6991273304244348,0.4972492594159966,0.7476658720699245,0.7315035088586994,0.5811557167587172,0.8194707388899193,48471
31,6,20136.0,0.25039729837107666,0.7496027016289233,3601.0,11348.0,3746.0,1441.0,0.24817808400689012,0.7518219159931099,0.71420071400238,0.49013202667755545,0.7424016686531585,0.733011314997745,0.5813221406086044,0.8201141154989753,48471
32,7,20136.0,0.25039729837107666,0.7496027016289233,3607.0,11312.0,3782.0,1435.0,0.25056313767059757,0.7494368623294024,0.7153907179690598,0.48815807281093515,0.740911799761621,0.7324137901492311,0.5803233850856729,0.8191449213646578,48471
33,8,20136.0,0.25039729837107666,0.7496027016289233,3648.0,11260.0,3834.0,1394.0,0.2540082151848416,0.7459917848151584,0.7235224117413724,0.48757016840417,0.7403655145013905,0.7347570982782654,0.582561481954647,0.8191751234771684,48471
34,9,20136.0,0.25039729837107666,0.7496027016289233,3513.0,11518.0,3576.0,1529.0,0.2369153305949384,0.7630846694050616,0.696747322491075,0.4955564959796868,0.7464739769566945,0.7299159959480683,0.5791773143186877,0.8183865310115055,48471
35,10,20136.0,0.25039729837107666,0.7496027016289233,3655.0,11233.0,3861.0,1387.0,0.2557970054326222,0.7442029945673778,0.724910749702499,0.4862959020755721,0.7393722685736989,0.7345568721349385,0.58209906035993,0.8188623473252663,48471
